,RSS,_k_Dd,_k_Dp,_k_Gd,_k_Gp,_k_Kd,_k_KpG,_k_KpN,_k_Nd,_k_Np
68,3.10155e-06,1.88278e-06,37.3752,71918.5,6.31544e-06,0.00397401,148005.0,0.000285251,140355.0,114274.0
69,3.10155e-06,90684.5,0.00114534,52077.2,6.85699e-06,1931.24,0.0143804,1.61615,11957.7,1.5270199999999998e-05
70,3.10155e-06,162572.0,2.04283e-06,22.7456,10.5459,0.17951199999999998,42819.2,824.9830000000002,5.78425,0.0133111
71,3.10155e-06,1.24435e-05,0.0005980790000000001,0.00149831,0.000264745,4.166390000000001e-05,31.5598,0.000610194,2968.58,0.0177187
72,3.10155e-06,0.0005088030000000001,7.676139999999998,0.419114,1.52054e-06,55092.7,0.516072,9.95289e-06,0.6139479999999999,0.112531
73,3.10155e-06,115171.0,3860.29,6.885479999999999e-05,0.275946,8.962950000000001e-05,755.062,1036.91,0.15073399999999998,0.0921019
74,3.10155e-06,164786.0,4.30692,6.06432,1.02832e-06,1.94592e-06,5487.0,2.5110200000000003,1976.23,187.287
75,3.10155e-06,0.00220226,1.95933e-05,6.4287,115.271,1.15956e-06,90.7883,0.00187526,9762.39,69.7744
76,3.10155e-06,274009.0,5445.48,73721.5,757.187,2.47458e-05,33.2677,0.0214755,98.3383,0.00202096
77,3.10155e-06,0.00643802,3.73183,0.000318969,4069.33,53.6734,0.0233716,3.32947e-06,6.71415e-06,1.11414e-06
78,3.10155e-06,40.5327,27266.9,0.000183681,140157.0,8.31683e-06,0.0133579,0.00025175,7.31228,455.648
79,3.10155e-06,2.01562e-06,273634.0,146.389,0.000107594,0.000287899,4.63783e-05,33.1675,7.559139999999998,2.27803e-06
80,3.10155e-06,18.4149,3961.29,5.8000699999999985e-06,0.0180945,0.046786400000000006,1.9469,2.7925900000000003e-06,1.27887e-06,2.57742e-06
81,3.10155e-06,98.4527,0.0104084,1.10992,385805.0,135.138,31613.7,1577.17,0.0134798,0.5277890000000001
82,3.10155e-06,130044.0,0.12980899999999998,258.907,0.0922075,46.2805,0.0385076,1.40918e-06,456122.0,20.025
83,3.10155e-06,0.0015734000000000002,0.0106073,4476.35,3.02684,1.39646e-06,2.50623e-05,0.0590156,8.33493,1.77553e-05
84,3.10155e-06,0.00172236,6.58163e-06,12437.1,9.87068,34346.5,11.9298,5013.99,0.10228,1.3907
85,239.02,391244.0,0.00232762,999978.0,4.9294400000000005,1e-06,0.00803709,6.687060000000001e-06,4.29696,16.9232
86,272.164,647103.0,0.286194,916342.0,0.000939696,0.000441557,0.0549285,2.75091e-06,107.899,468.075
87,320.593,22581.7,11.6696,18.0328,1e-06,7.8289399999999985,11813.1,1e-06,0.0249504,0.106377
88,351.464,4595.28,0.0057473,658.175,34939.4,1e-06,0.0172202,64.8178,76.5485,1e-06
89,353.987,21845.3,0.00620811,410708.0,0.440397,0.00177095,0.0216561,6.51256e-05,4.007630000000002,0.00506369
90,361.422,3.87657,0.00697632,23.5378,759.67,0.088223,0.318774,9.1392,1.04442,1e-06
91,474.352,20.5168,24.2135,50.8415,1e-06,0.0114675,755.128,1e-06,0.00219335,0.00744464
92,537.481,9.19283e-05,0.000851083,0.436174,547843.0,0.466799,1.32483,0.000443832,8691.3,1e-06
93,563.116,1e-06,1.84333e-05,12.508,5.69995e-05,318.493,6297.51,1e-06,486.533,0.950949
94,595.131,12.3987,29.2491,211.416,0.0169824,1e-06,303.385,5.86658e-06,1e-06,1e-06
95,603.786,8686.09,983448.0,3.12404,1e-06,1e-06,1000000.0,351.834,0.200246,1e-06
96,665.307,1.00036e-06,0.000979457,0.0100178,0.000891889,1788.88,26542.1,2.62388e-06,1e-06,0.00437082
97,751.3,1e-06,1e-06,279.273,1.4937200000000002,0.000146994,0.0150876,7.1413199999999986e-06,1e-06,0.000448537
